NAME,OBJECTID,FID,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Bakerloo,Central,Circle,District,Hammersmith,Jubilee,Metropolitan,Northern,Piccadilly,Victoria,Waterloo,Liberty,Lioness,Mildmay,Suffragette,Weaver,Windrush,Beckton,Woolwich,Lewisham,Wimbeck,Loop,Elizabeth,Weekly passenger count 2024,Useful code
Highgate,263,250,528535,188181,Northern,London Underground,3,-0.144860652,51.577342,,,,,,,,10.04,,,,,,,,,,,,,,,,94980,
Hillingdon,272,441,507602,185035,"Metropolitan, Piccadilly",London Underground,6,-0.447812239,51.55344939,,,,,,,10.07,,11.13,,,,,,,,,,,,,,,29600,
Holborn,49,37,530512,181525,"Central, Piccadilly",London Underground,1,-0.1188087,51.51706879,,20,,,,,,,24,,,,,,,,,,,,,,,436134,
Holland Park,107,74,524626,180217,Central,London Underground,2,-0.204062863,51.50664438,,12,,,,,,,,,,,,,,,,,,,,,,56544,
Holloway Road,20,79,530907,185450,Piccadilly,London Underground,2,-0.111653531,51.55225038,,,,,,,,,28,,,,,,,,,,,,,,,110031,
Homerton,181,164,535848,184939,n/a,London Overground,2,-0.040627028,51.54649227,,,,,,,,,,,,,,21,,,,,,,,,,85847,
Honor Oak Park,345,241,535896,174137,n/a,London Overground,3,-0.044096334,51.44940041,,,,,,,,,,,,,,,,,15,,,,,,,52767,
Hornchurch,28,431,553944,186240,District,London Underground,6,0.220754707,51.55353835,,,,41,,,,,,,,,,,,,,,,,,,,34977,
Hounslow Central,214,330,513568,175971,Piccadilly,London Underground,4,-0.364716069,51.470809,,,,,,,,,5,,,,,,,,,,,,,,,64652,
Hounslow East,215,331,514255,176203,Piccadilly,London Underground,4,-0.3547554,51.47275219,,,,,,,,,6,,,,,,,,,,,,,,,72629,
Hounslow West,213,389,512208,176197,Piccadilly,London Underground,5,-0.384218262,51.47310845,,,,,,,,,4,,,,,,,,,,,,,,,59815,
Hoxton,340,125,533576,183148,n/a,London Overground,2,-0.074056385,51.53093841,,,,,,,,,,,,,,,,,5,,,,,,,79002,
Hyde Park Corner,14,25,528213,179817,Piccadilly,London Underground,1,-0.152546395,51.50224103,,,,,,,,,19,,,,,,,,,,,,,,,89623,
Ickenham,273,442,508092,185938,"Metropolitan, Piccadilly",London Underground,6,-0.440467266,51.56146986,,,,,,,10.06,,11.12,,,,,,,,,,,,,,,18397,
Ilford,386,355,543535,186486,n/a,Elizabeth Line,4,0.07080065,51.55848898,,,,,,,,,,,,,,,,,,,,,,,26,193940,
Imperial Wharf,375,199,526291,176691,n/a,London Overground,2,-0.181347614,51.47457995,,,,,,,,,,,,,,6.04,,,,,,,,,,66622,
Island Gardens,461,180,538227,178444,n/a,DLR,2,-0.008883221,51.48754261,,,,,,,,,,,,,,,,,,,,6,,,,47243,
Iver,494,488,,,n/a,Elizabeth Line,ofz,-0.507,51.509,,,,,,,,,,,,,,,,,,,,,,,8,8721,
Kennington (Charing Cross),483,119,531599,178300,Northern,London Underground,2,-0.104357247,51.48782707,,,,,,,,10.001,,,,,,,,,,,,,,,,99829,
Kennington (Bank),318,119,531599,178300,Northern,London Underground,2,-0.104357247,51.48782707,,,,,,,,20,,,,,,,,,,,,,,,,,
Kensal Green,220,96,523257,182790,Bakerloo,London Underground,2,-0.222882378,51.5300656,9,,,,,,,,,,,,,,,,,,,,,,,39152,
Kensal Green,182,165,523241,182784,n/a,London Overground,2,-0.223116997,51.53001765,,,,,,,,,,,,,15,,,,,,,,,,,---,
Kensal Rise,183,166,523578,183250,n/a,London Overground,2,-0.218097094,51.53413249,,,,,,,,,,,,,,7,,,,,,,,,,66320,
Kensington Olympia,196,92,524342,179162,District,London Underground,2,-0.208533266,51.49722528,,,,11.000001,,,,,,,,,,,,,,,,,,,,---,
Kensington Olympia (Overground),372,196,524351,179167,n/a,London Overground,2,-0.208397635,51.49726439,,,,,,,,,,,,,,6.02,,,,,,,,,,47558,
Kentish Town,315,116,529009,185127,Northern,London Underground,2,-0.13914119,51.54978865,,,,,,,,10.01,,,,,,,,,,,,,,,,---,
Kentish Town West,184,167,528597,184691,n/a,London Overground,2,-0.145240267,51.54596266,,,,,,,,,,,,,,14,,,,,,,,,,53910,
Kenton,259,342,516728,188314,Bakerloo,London Underground,4,-0.315140189,51.58111281,2,,,,,,,,,,,,,,,,,,,,,,,32655,
Kenton,185,352,516698,188340,n/a,London Overground,4,-0.315564441,51.58134846,,,,,,,,,,,,,8,,,,,,,,,,,---,
Kew Gardens,226,230,519196,176732,District,London Underground,3,-0.283453589,51.47648632,,,,5.02,,,,,,,,,,,,,,,,,,,,84838,
Kew Gardens,186,263,519195,176741,n/a,London Overground,3,-0.283465911,51.47656919,,,,,,,,,,,,,,2,,,,,,,,,,---,
Kilburn,295,103,524583,184645,Jubilee,London Underground,2,-0.203115567,51.54644842,,,,,,9,,,,,,,,,,,,,,,,,,120090,
Kilburn High Road,187,168,525475,183594,n/a,London Overground,2,-0.190635722,51.53680577,,,,,,,,,,,,,17,,,,,,,,,,,14316,
Kilburn Park,235,100,525358,183328,Bakerloo,London Underground,2,-0.192420271,51.53444139,11,,,,,,,,,,,,,,,,,,,,,,,56406,
King George V,440,277,543237,180137,n/a,DLR,3,0.063920007,51.50151128,,,,,,,,,,,,,,,,,,,2,,,,,31835,
King Henry's Drive,423,457,537977,162560,n/a,Tramlink,6,-0.018665196,51.3448509,,,,,,,,,,,,,,,,,,,,,,2,,,
King's Cross St. Pancras,89,11,530175,182875,"Metropolitan, Northern, Piccadilly, Circle, Victoria, Hammersmith & City",London Underground,1,-0.123168404,51.52927728,,,14,,14,,18,12,26,9,,,,,,,,,,,,,,1554067,
Kingsbury,255,339,519359,188713,Jubilee,London Underground,4,-0.277052309,51.58414203,,,,,,4,,,,,,,,,,,,,,,,,,74689,
Knightsbridge,15,26,527710,179636,Piccadilly,London Underground,1,-0.159863737,51.50073061,,,,,,,,,18,,,,,,,,,,,,,,,292356,
Ladbroke Grove,34,85,524235,181339,"Hammersmith & City, Circle",London Underground,2,-0.209304449,51.51681261,,,6,,6,,,,,,,,,,,,,,,,,,,123874,
Lambeth North,231,49,531134,179456,Bakerloo,London Underground,1,-0.110624882,51.49833058,24,,,,,,,,,,,,,,,,,,,,,,,57944,
Lancaster Gate,40,32,526711,180773,Central,London Underground,1,-0.173843886,51.51117805,,15,,,,,,,,,,,,,,,,,,,,,,68353,
Langdon Park,462,181,537894,181442,n/a,DLR,2,-0.012505001,51.51456754,,,,,,,,,,,,,,,,,,,,12.03,,,,82578,
Langley,493,487,,,n/a,Elizabeth Line,ofz,-0.542,51.508,,,,,,,,,,,,,,,,,,,,,,,7,34830,
Latimer Road,33,84,523763,180898,"Hammersmith & City, Circle",London Underground,2,-0.216257476,51.51295039,,,5,,5,,,,,,,,,,,,,,,,,,,42061,
Lebanon Road,416,418,533348,165756,n/a,Tramlink,5,-0.08389645,51.37468254,,,,,,,,,,,,,,,,,,,,,514,9,,,
Leicester Square,16,27,529980,180824,"Piccadilly, Northern",London Underground,1,-0.126725567,51.51089472,,,,,,,,10.0006,22,,,,,,,,,,,,,,,589951,
Lewisham DLR,463,182,538046,175946,n/a,DLR,2,-0.012465383,51.46513641,,,,,,,,,,,,,,,,,,,,1,,,,151371,
Leyton,54,215,538367,186076,Central,London Underground,3,-0.00386474,51.55609689,,28,,,,,,,,,,,,,,,,,,,,,,185144,
Leyton Midland Road,188,264,538191,187523,n/a,London Overground,3,-0.00583941,51.56914561,,,,,,,,,,,,,,,8,,,,,,,,,36962,
Leytonstone,56,315,539279,187405,Central,London Underground,4,0.009807678,51.56781496,,29,,,,,,,,,,,,,,,,,,,,,,149876,
Leytonstone High Road,380,265,539245,186921,n/a,London Overground,3,0.009121703,51.56347619,,,,,,,,,,,,,,,9,,,,,,,,,25145,
Limehouse,464,183,536127,181086,n/a,DLR,2,-0.038095069,51.51179704,,,,,,,,,,,,,,,,,,14,11,14,,,,171032,
Liverpool Street,85,7,533094,181567,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1,-0.081601363,51.5168424,,24,18,,18,,22,,,,,,,,,,,,,,,,,1233062,
Liverpool Street,144,64,533202,181646,n/a,London Overground,1,-0.080013644,51.51752768,,,,,,,,,,,,,,,,1,,,,,,,,---,
Liverpool Street,395,65,533094,181567,n/a,Elizabeth Line,1,-0.081601363,51.5168424,,,,,,,,,,,,,,,,,,,,,,,20,265423,
Lloyd Park,418,420,533715,164541,n/a,Tramlink,5,-0.079087981,51.36367068,,,,,,,,,,,,,,,,,,,,,,7,,,
London Bridge,289,63,532683,180189,"Northern, Jubilee",London Underground,1,-0.088037808,51.50455372,,,,,,20,,17,,,,,,,,,,,,,,,,---,
London City Airport,441,278,542250,180292,n/a,DLR,3,0.04977043,51.50315378,,,,,,,,,,,,,,,,,,,3,,,,,1180047,
London Fields,145,147,534775,184246,n/a,London Overground,2,-0.056359095,51.54052142,,,,,,,,,,,,,,,,4,,,,,,,,69648,
Loughton,121,426,542319,195612,Central,London Underground,6,0.056970973,51.6408144,,34,,,,,,,,,,,,,,,,,,,,,,37575,
Maida Vale,234,99,525940,182762,Bakerloo,London Underground,2,-0.184228557,51.52922219,12,,,,,,,,,,,,,,,,,,,,,,,59307,
Maidenhead,489,483,,,n/a,Elizabeth Line,ofz,-0.723,51.519,,,,,,,,,,,,,,,,,,,,,,,3,57780,
Manor House,26,81,532048,187482,Piccadilly,London Underground,2,-0.094452148,51.57024769,,,,,,,,,31,,,,,,,,,,,,,,,115452,
Manor Park,385,354,541951,185707,n/a,Elizabeth Line,4,0.047651015,51.55189321,,,,,,,,,,,,,,,,,,,,,,,25,128476,
Mansion House,80,2,532354,180932,"District, Circle",London Underground,1,-0.092495313,51.51130597,,,23,21,,,,,,,,,,,,,,,,,,,,79096,
Marble Arch,41,33,527960,181017,Central,London Underground,1,-0.155755638,51.51309055,,16,,,,,,,,,,,,,,,,,,,,,,94323,
Maryland,383,267,539190,184924,n/a,Elizabeth Line,3,0.007539167,51.54554249,,,,,,,,,,,,,,,,,,,,,,,23,185091,
Marylebone,236,51,527459,181957,Bakerloo,London Underground,1,-0.162637346,51.52165079,16,,,,,,,,,,,,,,,,,,,,,,,74797,
Merton Park,398,271,525179,169835,n/a,Tramlink,3,-0.199772348,51.41320626,,,,,,,,,,,,,,,,,,,,,3,,,,
Mile End,52,89,536501,182534,"District, Hammersmith & City, Central",London Underground,2,-0.032150165,51.52472507,,26,,28,22,,,,,,,,,,,,,,,,,,,177100,
