NAME,OBJECTID,FID,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Bakerloo,Central,Circle,District,Hammersmith,Jubilee,Metropolitan,Northern,Piccadilly,Victoria,Waterloo,Liberty,Lioness,Mildmay,Suffragette,Weaver,Windrush,Beckton,Woolwich,Lewisham,Wimbeck,Loop,Elizabeth
Warren Street,114,23,529249,182266,"Northern, Victoria",London Underground,1,-0.136735811,51.52401887,,,,,,,,10.0003000,,8.0000000,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Warwick Avenue,232,98,526112,182039,Bakerloo,London Underground,2,-0.182005998,51.52269118,13.0000000,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Waterloo,198,44,530968,179962,"Waterloo & City, Bakerloo, Northern, Jubilee",London Underground,1,-0.112818812,51.50291418,23.0000000,,,,,18.0000000,,10.0009000,,,1.0000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Watford,327,463,509569,196596,Metropolitan,London Underground,7,-0.415832512,51.65699167,,,,,,,5.0200000,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Watford High Street,360,468,511326,196075,n/a,London Overground,8,-0.390612987,51.6519637,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A
Watford Junction,365,469,511021,197351,n/a,London Overground,8,-0.394615064,51.6634936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A
Wellesley Road,412,414,532506,165769,n/a,Tramlink,5,-0.095978591,51.37499854,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,413.0000000,5010.0000000,N/A
Wembley Central,222,334,518183,185085,Bakerloo,London Underground,4,-0.295237517,51.55177912,5.0000000,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wembley Central,361,377,518184,185126,n/a,London Overground,4,-0.295206549,51.55214998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,11.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A
Wembley Park,252,338,519316,186388,"Metropolitan, Jubilee",London Underground,4,-0.278458638,51.56325938,,,,,,5.0000000,13.0000000,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Acton,269,251,519373,181296,Central,London Underground,3,-0.279364414,51.51747345,,8.0100000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Brompton,245,133,525381,178024,District,London Underground,2,-0.193973832,51.48676791,,,,11.0100000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Croydon,129,402,532133,166072,n/a,London Overground,5,-0.101229704,51.37780543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,21.0000000,N/A,N/A,N/A,N/A,N/A,N/A
West Croydon (Tramlink),411,413,532210,166142,n/a,Tramlink,5,-0.100095218,51.37841469,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,313.0000000,4010.0000000,N/A
West Drayton,495,489,,,n/a,Elizabeth Line,5,-0.472263900,51.50994170,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,9.0000000
West Ealing,499,493,,,n/a,Elizabeth Line,3,-0.320300000,51.51370000,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,13.0000000
West Finchley,265,344,525546,191627,Northern,London Underground,4,-0.186738929,51.60898928,,,,,,,,10.0700000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Ham,201,222,539131,182945,"District, Hammersmith & City, Jubilee",London Underground,3,0.00590508,51.52776913,,,,31.0000000,25.0000000,26.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Ham (DLR),474,288,539182,182943,n/a,DLR,3,0.006640951,51.52774122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.0200000,6.0200000,,N/A,N/A,N/A
West Hampstead,297,104,525592,184653,Jubilee,London Underground,2,-0.188568627,51.54629707,,,,,,10.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Hampstead,362,194,525579,184651,n/a,London Overground,2,-0.188759559,51.54628297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,10.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A
West Harrow,278,394,514200,188029,Metropolitan,London Underground,5,-0.351706569,51.57906815,,,,,,,10.0100000,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West India Quay,471,188,537495,180586,n/a,DLR,2,-0.018586106,51.50697183,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,12.0000000,N/A,N/A,N/A
West Kensington,242,130,524685,178398,District,London Underground,2,-0.203860054,51.49027946,,,,10.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Ruislip,75,434,508379,186796,Central,London Underground,6,-0.436073394,51.56913097,,1.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Silvertown,446,283,540460,180156,n/a,DLR,3,0.023940282,51.50237959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,5.0000000,,N/A,N/A,N/A
Westbourne Park,36,87,524901,181756,"Hammersmith & City, Circle",London Underground,2,-0.199554267,51.52041239,,,7.0000000,,7.0000000,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Westferry,472,189,537023,180798,n/a,DLR,2,-0.025301528,51.50899182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.0000000,10.0000000,13.0000000,N/A,N/A,N/A
Westminster,195,42,530196,179668,"District, Circle, Jubilee",London Underground,1,-0.124052209,51.50045311,,,27.0000000,17.0000000,,17.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Westompton,373,197,525397,178008,n/a,London Overground,2,-0.193747112,51.48661615,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A
White City,105,72,523308,180748,Central,London Underground,2,-0.222866489,51.51170695,,10.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
White Hart Lane,158,256,533693,191333,n/a,London Overground,3,-0.069256013,51.60447174,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,11.0000000,,N/A,N/A,N/A,N/A,N/A,N/A
Whitechapel,338,124,534698,181851,n/a,London Overground,2,-0.05838503,51.51901529,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,7.0000000,N/A,N/A,N/A,N/A,N/A,N/A
Whitechapel,250,136,534645,181850,"District, Hammersmith & City",London Underground,2,-0.059154123,51.51902202,,,,26.0000000,20.0000000,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Whitechapel,507,501,,,n/a,Elizabeth Line,2,-0.05838503,51.51901529,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.0000000
Willesden Green,296,234,523329,184883,Jubilee,London Underground,3,-0.221119357,51.54886838,,,,,,8.0000000,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Willesden Junction,261,248,521858,182960,Bakerloo,London Underground,3,-0.242978972,51.5318981,8.0000000,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Willesden Junction,364,478,521879,182944,n/a,London Overground,0,-0.242688895,51.5317515,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,14.0000000,6.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A
Wimbledon,333,240,524800,170684,District,London Underground,3,-0.204921053,51.42091587,,,,11.0800000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wimbledon (Tramlink),396,269,524838,170637,n/a,Tramlink,3,-0.204395752,51.42048966,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.0000000,,N/A
Wimbledon Park,100,203,525282,172100,District,London Underground,3,-0.19749098,51.43353749,,,,11.0700000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wood Green,193,220,531015,190428,Piccadilly,London Underground,3,-0.108246806,51.5969712,,,,,,,,,33.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wood Lane,334,121,523374,180519,"Hammersmith & City, Circle",London Underground,2,-0.221994162,51.50963208,,,4.0000000,,4.0000000,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Woodford,64,323,540950,191740,Central,London Underground,4,0.035640856,51.60635963,,32.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Woodford,481,323,540950,191740,Central,London Underground,4,0.035640856,51.60635963,,29.1100000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Woodgrange Park,363,477,541821,185350,n/a,London Overground,0,0.045631091,51.54871611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,11.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A
Woodside,427,424,534701,167101,n/a,Tramlink,5,-0.063965962,51.38645328,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,518.0000000,,N/A
Woodside Park,264,343,525718,192588,Northern,London Underground,4,-0.183907004,51.61758971,,,,,,,,10.0800000,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Woolwich,510,504,,,n/a,Elizabeth Line,4,0.071819000,51.49157800,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,21.0300000
Woolwich Arsenal,447,373,543731,178811,n/a,DLR,4,0.070492592,51.48946942,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1.0000000,,N/A,N/A,N/A
