NAME,OBJECTID,FID,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Bakerloo,Central,Circle,District,Hammersmith,Jubilee,Metropolitan,Northern,Piccadilly,Victoria,Waterloo,Liberty,Lioness,Mildmay,Suffragette,Weaver,Windrush,Beckton,Woolwich,Lewisham,Wimbeck,Loop,Elizabeth
Seven Sisters,116,205,533643,188931,Victoria,London Underground,3,-0.070894139,51.58289546,,,,,,,,,,12.0000000,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seven Sisters,150,254,533458,189004,n/a,London Overground,3,-0.073533739,51.58359611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,9.0000000,,N/A,N/A,N/A,N/A,N/A,N/A
Shadwell,337,123,534932,180932,n/a,London Overground,2,-0.055365921,51.51070004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,8.0000000,N/A,N/A,N/A,N/A,N/A,N/A
Shadwell DLR,468,186,534947,180986,n/a,DLR,2,-0.05512963,51.51118155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.0000000,12.0000000,15.0000000,N/A,N/A,N/A
Shenfield,394,476,561361,194981,n/a,Elizabeth Line,0,0.331671253,51.6300009,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.0000000
Shepherd's Bush,106,73,523720,179884,Central,London Underground,2,-0.217238899,51.50384346,,11.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shepherd's Bush Market,31,82,523197,180064,"Hammersmith & City, Circle",London Underground,2,-0.224700725,51.50558155,,,3.0000000,,3.0000000,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shepherds Bush,371,195,523720,179920,n/a,London Overground,2,-0.217219888,51.50417089,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,6.0100000,,,,N/A,N/A,N/A,N/A,N/A,N/A
Shoreditch High Street,339,60,533555,182248,n/a,London Overground,1,-0.074700292,51.52285471,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,6.0000000,N/A,N/A,N/A,N/A,N/A,N/A
Silver Street,159,351,533922,192445,n/a,London Overground,4,-0.065526104,51.61440848,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,12.0000000,,N/A,N/A,N/A,N/A,N/A,N/A
Sloane Square,238,53,528091,178655,"District, Circle",London Underground,1,-0.15473274,51.49182524,,,30.0000000,14.0000000,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slough,492,486,,,n/a,Elizabeth Line,ofz,-0.59200000,51.51200000,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.0000000
Snaresbrook,55,314,540157,188804,Central,London Underground,4,0.023019902,51.58017276,,30.0000000,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Acton,350,294,520148,179250,n/a,London Overground,3,-0.268894276,51.49891951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,4.0000000,,,,N/A,N/A,N/A,N/A,N/A,N/A
South Ealing,10,210,517575,179354,Piccadilly,London Underground,3,-0.305919519,51.50039136,,,,,,,,,10.0000000,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
